folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.754316,,0.754316,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_R_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.917617,,0.917617,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_R_12,stat_std_num,1,1,,zxing_gray,stat,gray,,std,,0,,1,0.837559,0.837559,0.837559,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.608070,,0.608070,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.850982,,0.850982,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_12,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.910342,,0.910342,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.637671,,0.637671,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.852232,,0.852232,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_12,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.879976,,0.879976,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.001373
ex_R_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.613010,,0.613010,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
ex_R_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.940282,,0.940282,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
ex_R_12,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.957950,,0.957950,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_G_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.739477,,0.739477,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_G_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.901324,,0.901324,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_G_12,stat_std_num,1,1,,zxing_gray,stat,gray,,std,,0,,1,0.852975,0.852975,0.852975,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_G_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.602832,,0.602832,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_G_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.831851,,0.831851,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_G_12,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.895524,,0.895524,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_G_4,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.603619,,0.603619,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_G_8,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.724740,,0.724740,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_G_12,stat_std_num,1,0,QR未検出,,stat,gray,,std,,0,,1,0.795910,,0.795910,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.001373
